<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200101,010000,7165.7200000,7165.7200000,7136.0500000,7150.3500000,251
20200101,020000,7149.2600000,7204.9400000,7147.1800000,7194.5200000,229
20200101,030000,7194.5200000,7218.4200000,7191.4400000,7217.0000000,192
20200101,040000,7217.0000000,7217.0000000,7193.3400000,7196.9800000,232
20200101,050000,7196.9900000,7200.6200000,7183.8500000,7186.4100000,201
20200101,060000,7186.4000000,7199.0000000,7183.8500000,7197.3100000,115
20200101,070000,7197.3100000,7207.8700000,7197.3100000,7201.4600000,125
20200101,080000,7201.3000000,7209.1500000,7175.0000000,7185.9100000,47
20200101,090000,7185.9000000,7185.9100000,7158.1900000,7181.9900000,72
20200101,100000,7181.9900000,7189.5300000,7170.0100000,7170.0100000,50
20200101,110000,7170.0100000,7187.5500000,7170.0100000,7182.3300000,28
20200101,120000,7182.3300000,7215.0000000,7168.4500000,7174.2600000,119
20200101,130000,7174.2700000,7206.8200000,7174.2700000,7206.8200000,58
20200101,140000,7206.8200000,7210.8400000,7197.9300000,7200.4000000,53
20200101,150000,7200.0100000,7215.0000000,7188.9100000,7199.0300000,79
20200101,160000,7199.0300000,7238.1400000,7196.4300000,7214.3100000,200
20200101,170000,7213.3400000,7225.0000000,7195.0200000,7223.8600000,164
20200101,180000,7224.9900000,7231.2700000,7204.9600000,7218.0100000,127
20200101,190000,7218.0000000,7229.3700000,7205.6900000,7218.3000000,220
20200101,200000,7218.3000000,7218.3100000,7199.6100000,7207.0700000,168
20200101,210000,7207.0600000,7221.9200000,7200.0000000,7215.8500000,89
20200101,220000,7215.8500000,7222.6000000,7204.5300000,7216.3400000,140
20200101,230000,7216.2000000,7217.0000000,7163.9100000,7177.0100000,198
20200102,000000,7177.0100000,7177.5800000,7150.0000000,7174.3300000,150
20200102,010000,7174.3300000,7186.1800000,7160.0000000,7181.9900000,93
20200102,020000,7181.9900000,7182.0000000,7157.1500000,7165.7500000,191
20200102,030000,7165.7400000,7165.7400000,7125.0000000,7141.1100000,348
20200102,040000,7141.1100000,7141.1100000,7096.6100000,7098.8800000,380
20200102,050000,7098.8700000,7129.7700000,7089.0000000,7110.9800000,256
20200102,060000,7112.1100000,7123.7100000,7101.4800000,7108.0300000,105
20200102,070000,7108.0400000,7119.9700000,7091.1000000,7104.3200000,125
20200102,080000,7103.4500000,7109.3200000,7074.0900000,7077.4500000,314
20200102,090000,7075.0400000,7122.5000000,7075.0000000,7122.0500000,131
20200102,100000,7122.4900000,7132.4800000,7108.5200000,7132.4800000,34
20200102,110000,7132.4800000,7156.6500000,7132.2800000,7136.8800000,88
20200102,120000,7136.8800000,7141.6800000,7120.0000000,7120.0000000,56
20200102,130000,7117.7800000,7140.8100000,7117.7800000,7132.7200000,94
20200102,140000,7132.7200000,7139.9700000,7081.0300000,7107.8700000,258
20200102,150000,7107.8500000,7137.2300000,7099.0300000,7114.1200000,188
20200102,160000,7114.1200000,7130.0000000,7095.5000000,7111.7200000,189
20200102,170000,7111.6900000,7125.0000000,7011.3000000,7027.0100000,820
20200102,180000,7027.0100000,7027.0100000,6903.0000000,6942.4000000,2349
20200102,190000,6942.4000000,6968.2200000,6927.1300000,6955.0100000,580
20200102,200000,6955.0100000,6976.1700000,6937.8200000,6965.0000000,306
20200102,210000,6965.0000000,6965.0100000,6924.7500000,6927.2400000,315
20200102,220000,6927.2400000,6967.1400000,6926.1600000,6957.9700000,271
20200102,230000,6957.9800000,6958.0000000,6943.3300000,6955.6200000,190
20200103,000000,6955.6200000,6957.0000000,6936.6900000,6945.0200000,299
20200103,010000,6945.0200000,6945.0300000,6903.0900000,6919.0100000,353
20200103,020000,6919.0100000,6927.5800000,6864.0000000,6869.4500000,521
20200103,030000,6869.4500000,6945.4000000,6854.6700000,6938.9300000,442
20200103,040000,6938.9300000,6947.6400000,6925.6100000,6937.6100000,181
20200103,050000,6937.6100000,7281.2400000,6937.6100000,7194.7900000,2309
20200103,060000,7194.7900000,7235.9400000,7151.7900000,7203.0400000,621
20200103,070000,7203.0400000,7209.9400000,7181.3500000,7193.1400000,379
20200103,080000,7193.1400000,7220.0000000,7176.0700000,7184.6600000,525
20200103,090000,7186.5900000,7287.5200000,7186.5900000,7255.9000000,466
20200103,100000,7255.8600000,7347.3600000,7252.5600000,7337.5300000,679
20200103,110000,7337.6700000,7361.7000000,7276.7700000,7301.1500000,427
20200103,120000,7301.1500000,7333.7700000,7296.0900000,7327.6400000,502
20200103,130000,7327.6400000,7339.3100000,7296.0500000,7316.3100000,437
20200103,140000,7316.3000000,7369.6100000,7306.5000000,7342.8800000,330
20200103,150000,7342.1900000,7347.2900000,7227.7800000,7245.0000000,887
20200103,160000,7245.0000000,7319.8300000,7245.0000000,7313.2300000,638
20200103,170000,7315.0200000,7401.2000000,7291.4200000,7386.7400000,1231
